deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
001 - Triumph Business Capital acquisition of certain assets of Interstate Capit.docx,Mark F. Veblen,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Triumph Business Capital acquisition of certain assets of Interstate Capit.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allan M. Goldfarb,Kemp Smith LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx,Mark Baudler,Wilson Sonsini Goodrich & Rosati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx,NA,NA,Robert T. Ishii,Wilson Sonsini Goodrich & Rosati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Craig Carlson,Stradling Yocca Carlson & Rauth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Accelrys Inc and VelQuest Corporation merger.docx,Scott E. Oross,Paul Hastings LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Accelrys Inc and VelQuest Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christopher Holsing (representing Target),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Accelrys Inc and VelQuest Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew E. Taylor,Choate Hall & Stewart LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Accelrys Inc and VelQuest Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jr. (representing Stockholders’ Representative),Choate Hall & Stewart LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,Matthew S. Bailey,Squire Patton Boggs (US) LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,NA,NA,Matthew C. Palmer,Squire Patton Boggs (US) LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,NA,NA,NA,NA,NA,Davis Polk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
