deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
42 - Hitachi Chemical Co America Ltd acquisition of equity interests of PCT LLC .docx,Ralph M. Pais,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Hitachi Chemical Co America Ltd acquisition of equity interests of PCT LLC .docx,NA,NA,Sam Angus,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Hitachi Chemical Co America Ltd acquisition of equity interests of PCT LLC .docx,NA,NA,NA,NA,Soichiro Fujiwara,Nagashima Ohno & Tsunematsu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Hitachi Chemical Co America Ltd acquisition of equity interests of PCT LLC .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neil A. Torpey,Paul Hastings LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Jazz Pharmaceuticals Public Limited Company and EUSA Pharma Inc merger.docx,Jennifer Fonner DiNucci,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Jazz Pharmaceuticals Public Limited Company and EUSA Pharma Inc merger.docx,NA,NA,NA,Baker & McKenzie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Jazz Pharmaceuticals Public Limited Company and EUSA Pharma Inc merger.docx,NA,NA,NA,NA,NA,A&L Goodbody (Dublin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Jazz Pharmaceuticals Public Limited Company and EUSA Pharma Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruce A. Zivian,K&L Gates LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Rank Group Limited acquisition of subsidiary stock and certain assets from .docx,Jeffrey J. Rosen,Debevoise & Plimpton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Rank Group Limited acquisition of subsidiary stock and certain assets from .docx,NA,NA,Kevin M. Schmidt,Debevoise & Plimpton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Rank Group Limited acquisition of subsidiary stock and certain assets from .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Robbins,Bingham McCutchen LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - S1 Corporation acquisition of stock of PM Systems Corporation.docx,Stuart G. Stein,Hogan & Hartson LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - S1 Corporation acquisition of stock of PM Systems Corporation.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G. Marcus Knight,"Nexsen Pruet, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Tug Hill Inc acquisition of certain assets of Gastar Exploration Inc.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Tug Hill Inc acquisition of certain assets of Gastar Exploration Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Veritas Capital acquisition of assets of EMCORE Corporation.docx,John M. Pollack,Schulte Roth & Zabel LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Veritas Capital acquisition of assets of EMCORE Corporation.docx,NA,NA,NA,Covington & Burling LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Veritas Capital acquisition of assets of EMCORE Corporation.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brian J. McCarthy,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42 - Veritas Capital acquisition of assets of EMCORE Corporation.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew D. Garelick,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Amgen Inc and BioVex Group Inc merger.docx,Francis J. Aquila,Sullivan & Cromwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Amgen Inc and BioVex Group Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timothy J. Corbett,Wilmer Cutler Pickering Hale and Dorr LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Amgen Inc and BioVex Group Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steven D. Singer (representing Targets),Wilmer Cutler Pickering Hale and Dorr LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Amgen Inc and BioVex Group Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Bison (representing Stockholders’ Representative),Goodwin Procter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Comfort Systems USA Inc acquisition of stock of ColonialWebb Contractors Co.docx,NA,Harris Williams & Co.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Comfort Systems USA Inc acquisition of stock of ColonialWebb Contractors Co.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas P. Rohman,McGuireWoods LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Ferrero International SA acquisition of stock of Fannie May Confections Bra.docx,John Bick,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Ferrero International SA acquisition of stock of Fannie May Confections Bra.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William M. Hartnett,Cahill Gordon & Reindel LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Ferrero International SA acquisition of stock of Fannie May Confections Bra.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kimberly Petillo-Décossard,Cahill Gordon & Reindel LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - KAR Auction Services Inc acquisition of certain assets of Brasher's Auto Au.docx,Leslie D. Minier,Katten Muchin Rosenman LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - KAR Auction Services Inc acquisition of certain assets of Brasher's Auto Au.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clinton J. Bullock,Bullock Law Firm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - KMG Chemicals Inc acquisition of assets of General Chemical Performance Pro.docx,Bill Nelson,"Haynes and Boone, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - KMG Chemicals Inc acquisition of assets of General Chemical Performance Pro.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ray Grochowski,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - KMG Chemicals Inc acquisition of assets of General Chemical Performance Pro.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dean Calland,"Babst, Calland, Clements & Zomnir, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Omnicell Inc and MedPak Holdings Inc merger.docx,Jennifer Fonner DiNucci,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Omnicell Inc and MedPak Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timothy R. Aragon,Hogan Lovells US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - PBF Logistics LP acquisition of equity interests of Delaware City Terminali.docx,NA,Vinson & Elkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - PBF Logistics LP acquisition of equity interests of Delaware City Terminali.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Repay Holdings Corporation acquisition of equity interests of CDT Technolog.docx,Brendan J. Thomas,Troutman Sanders LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Repay Holdings Corporation acquisition of equity interests of CDT Technolog.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blaine Statham,"Haynes and Boone, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Voyager Oil And Gas Inc acquisition of stock of Emerald Oil Inc.docx,Kirk Tucker,Mayer Brown LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43 - Voyager Oil And Gas Inc acquisition of stock of Emerald Oil Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James J. Muchmore,"Messner & Reeves, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Actua Corporation and Folio Dynamics Inc merger.docx,Henry Nassau,Dechert LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Actua Corporation and Folio Dynamics Inc merger.docx,NA,NA,Stephen Leitzell,Dechert LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Actua Corporation and Folio Dynamics Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John Amorosi,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - AECOM Technology Corporation acquisition of stock of Tishman Construction C.docx,Jonathan K. Layne,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - AECOM Technology Corporation acquisition of stock of Tishman Construction C.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David N. Shine,"Fried, Frank, Harris, Shriver & Jacobson LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Aemetis Inc and Cilion Inc merger.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Aemetis Inc and Cilion Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denis Segota,"Morgan, Lewis & Bockius LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Altisource Portfolio Solutions SA acquisition of equity interests of The Mo.docx,Richard H. Miller,Bryan Cave LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Altisource Portfolio Solutions SA acquisition of equity interests of The Mo.docx,NA,NA,Louis C. Spelios,Bryan Cave LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Altisource Portfolio Solutions SA acquisition of equity interests of The Mo.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert H. Epstein,"Gallop, Johnson & Neuman, L.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Altisource Portfolio Solutions SA acquisition of equity interests of The Mo.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard A. Yawitz,"Gallop, Johnson & Neuman, L.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Ancestrycom Operations Inc acquisition of assets of Inflection LLC.docx,Barbara Becker,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Ancestrycom Operations Inc acquisition of assets of Inflection LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eric C. Jensen,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Lakeland Bancorp Inc and Harmony Bank merger.docx,Peter H. Ehrenberg,Lowenstein Sandler LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Lakeland Bancorp Inc and Harmony Bank merger.docx,NA,NA,Laura R. Kuntz,Lowenstein Sandler LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Lakeland Bancorp Inc and Harmony Bank merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ronald H. Janis,Day Pitney LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Lakeland Bancorp Inc and Harmony Bank merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael T. Rave,Day Pitney LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - PTC Therapeutics Inc acquisition of certain assets of Marathon Pharmaceutic.docx,NA,Wilmer Hale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - PTC Therapeutics Inc acquisition of certain assets of Marathon Pharmaceutic.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Rand Logistics Inc acquisition of stock of American Steamship Company.docx,Daniel S. Evans,Ropes & Gray LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Rand Logistics Inc acquisition of stock of American Steamship Company.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marjorie F. Krumholz,Thompson Coburn LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Triple-S Management Corporation and Socios Mayores en Salud Holdings Inc me.docx,Javier D. Ferrer,Pietrantoni Mendez & Alvarez LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44 - Triple-S Management Corporation and Socios Mayores en Salud Holdings Inc me.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mark Stein,McDermott Will & Emery LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - BP Biofuels North America LLC acquisition of certain assets of Verenium Cor.docx,Brendan P. Head,DLA Piper LLP (US),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - BP Biofuels North America LLC acquisition of certain assets of Verenium Cor.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barbara Borden,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Digital Turbine Inc acquisition of stock of Mobile Posse Inc.docx,Michael F. Meskill,Jackson Walker L.L.P.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Digital Turbine Inc acquisition of stock of Mobile Posse Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeffrey K. Lehrer,DLA Piper LLP (US),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Digital Turbine Inc acquisition of stock of Mobile Posse Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jenifer Renzenbrink Smith,DLA Piper LLP (US),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - DSW Inc acquisition of stock of Ebuys Inc.docx,Robert Tannous,"Porter Wright Morris & Arthur, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - DSW Inc acquisition of stock of Ebuys Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lawrence M. Braun,"Sheppard, Mullin, Richter & Hampton LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - First Busey Corporation and Mid Illinois Bancorp Inc merger.docx,Robert M. Fleetwood,Barack Ferrazzano Kirschbaum & Nagelberg LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - First Busey Corporation and Mid Illinois Bancorp Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John W. Howard,Davis & Campbell L.L.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - First Busey Corporation and Mid Illinois Bancorp Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jude M. Sullivan,Howard & Howard Attorneys PLLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - JDS Uniphase Corporation acquisition of certain assets of Agilent Technolog.docx,Edward H Batts,DLA Piper LLP (US),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - JDS Uniphase Corporation acquisition of certain assets of Agilent Technolog.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baker & McKenzie LLP- Matthew R. Gemello,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Silicon Laboratories Inc and Spectra Linear Inc merger.docx,Philip Russell,DLA Piper LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Silicon Laboratories Inc and Spectra Linear Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrick Pohlen,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Suburban Propane Partners LP acquisition of equity interests of Inergy Prop.docx,Sean T. Wheeler,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Suburban Propane Partners LP acquisition of equity interests of Inergy Prop.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gillian A. Hobson,Vinson & Elkins L.L.P.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Universal Business Payment Solutions Acquisition Corporation and JetPay LLC.docx,James A. Lebovitz,Dechert LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Universal Business Payment Solutions Acquisition Corporation and JetPay LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brad L. Whitlock,"Scheef & Stone, L.L.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Vanguard Natural Resources LLC acquisition of certain assets of Bill Barret.docx,J. Patrick Doherty,Doherty & Doherty LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 - Vanguard Natural Resources LLC acquisition of certain assets of Bill Barret.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Avon Products Inc acquisition of assets of Silpada Designs Inc.docx,Frank J. Aquila,Sullivan & Cromwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Avon Products Inc acquisition of assets of Silpada Designs Inc.docx,NA,NA,Audra D. Cohen,Sullivan & Cromwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Avon Products Inc acquisition of assets of Silpada Designs Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mark A. Bluhm,Lathrop & Gage LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Avon Products Inc acquisition of assets of Silpada Designs Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wallace E. Brockhoff,Lathrop & Gage LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Cognizant Technology Solutions Corporation acquisition of stock of TZ US Pa.docx,Keith Halverstam,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Cognizant Technology Solutions Corporation acquisition of stock of TZ US Pa.docx,NA,NA,Tom Malone,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46 - Cognizant Technology Solutions Corporation acquisition of stock of TZ US Pa.docx,NA,NA,NA,NA,NA,Nishith Desai Associates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
