deal,First,MI,Last,Law_Firm,Type
003 - Apollo Group Inc and Carnegie Learning Inc merger.docx,Michael,D.,Paley,Kirkland & Ellis LLP,Buyer
003 - Apollo Group Inc and Carnegie Learning Inc merger.docx,E.,Terry,Platis,Kirkland & Ellis LLP,Buyer
003 - Apollo Group Inc and Carnegie Learning Inc merger.docx,Scott,E.,Westwood,McGuire Woods LLP,Target/Seller
003 - Axos Clearing LLC and COR Securities Holdings Inc merger.docx,Raymond,J.,Stewart,Thompson Coburn LLP,Buyer
003 - Axos Clearing LLC and COR Securities Holdings Inc merger.docx,Matthew,M.,Guest,"Wachtell, Lipton, Rosen & Katz",Target/Seller
003 - Badger Meter Inc and Racine Federated Inc merger.docx,Timothy,P.,Reardon,Reinhart Boerner Van Deuren s.c.,Buyer
003 - Badger Meter Inc and Racine Federated Inc merger.docx,David,NA,Navarre,"Godfrey & Kahn, S.C.",Target/Seller
003 - Bank First Corporation and Tomah Bancshares Inc merger.docx,Robert,NA,Fleetwood,Barack Ferrazzano Kirschbaum & Nagelberg LLP,Buyer
003 - Bank First Corporation and Tomah Bancshares Inc merger.docx,Patrick,NA,Murphy,Godfrey & Kahn S.C.,Target/Seller
003 - Bank of Marin Bancorp and Bank of Napa NA merger.docx,John,NA,Stuart,Stuart Moore Staub,Buyer
003 - Bank of Marin Bancorp and Bank of Napa NA merger.docx,David,NA,Gershon,"Manatt, Phelps & Phillips, LLP",Target/Seller
003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx,Adam,M.,Turteltaub,Willkie Farr & Gallagher LLP,Buyer
003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx,Glenn,D.,West,"Weil, Gotshal & Manges LLP",Target/Seller
003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx,Michael,NA,Lubowitz,"Weil, Gotshal & Manges LLP",Target/Seller
003 - Citizens And Northern Corporation and Covenant Financial Inc merger.docx,Charles,J.,Ferry,"Stevens & Lee, P.C.",Buyer
003 - Citizens And Northern Corporation and Covenant Financial Inc merger.docx,Robert,A.,Schwartz,"Windels Marx Lane & Mittendorf, LLP",Target/Seller
003 - First Acceptance Corporation dba Acceptance Insurance acquisition of certa.docx,David,E.,Shapiro,"Wachtell, Lipton, Rosen & Katz",Buyer
003 - First Acceptance Corporation dba Acceptance Insurance acquisition of certa.docx,Gordon,S.,Moodie,"Wachtell, Lipton, Rosen & Katz",Buyer
003 - First Acceptance Corporation dba Acceptance Insurance acquisition of certa.docx,NA,NA,NA,None,Target/Seller
003 - First Guaranty Bancshares Inc acquisition of stock of and merger with Unio.docx,Kenneth,E.,Pickering,Pickering & Cotogno,Buyer
