deal,First,MI,Last,Law_Firm,Type
17 - PLX Technology Inc and Teranetics Inc merger.docx,Arthur,NA,Schneiderman,"Wilson Sonsini Goodrich & Rosati, PC",Target/Seller
17 - PLX Technology Inc and Teranetics Inc merger.docx,Jason,NA,Sebring,"Wilson Sonsini Goodrich & Rosati, PC",Target/Seller
17 - Roper Industries Inc acquisition of stock of Sunquest Holdings Inc.docx,Joseph,NA,Rinaldi,Davis Polk & Wardwell LLP,Buyer
17 - Roper Industries Inc acquisition of stock of Sunquest Holdings Inc.docx,David,A.,Breach,Kirkland & Ellis LLP,Target/Seller
17 - Roper Industries Inc acquisition of stock of Sunquest Holdings Inc.docx,Stuart,E.,Casillas,Kirkland & Ellis LLP,Target/Seller
17 - Sierra Bancorp and OCB Bancorp merger.docx,Keith,T.,Holmes,"King, Holmes, Paterno & Soriano, LLP",Buyer
17 - Sierra Bancorp and OCB Bancorp merger.docx,NA,NA,NA,"Loren P. Hansen, APC",Target/Seller
17 - Silicon Laboratories Inc and Ember Corporation merger.docx,Philip,NA,Russell,DLA Piper LLP (US),Buyer
17 - Silicon Laboratories Inc and Ember Corporation merger.docx,William,T.,Whelan,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",Target/Seller
17 - Sterling National Bank acquisition of equity interests of NewStar Business .docx,James,J.,Barresi,Squire Patton Boggs (US) LLP,Buyer
17 - Sterling National Bank acquisition of equity interests of NewStar Business .docx,George,NA,Ticknor,Locke Lord LLP,Target/Seller
18 - Baseline Energy Resources LLC acquisition of certain assets of Midstates Pe.docx,NA,NA,NA,Not disclosed at signing.,Buyer
18 - Baseline Energy Resources LLC acquisition of certain assets of Midstates Pe.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
18 - Cheniere Energy Partners LP acquisition of equity interests of Cheniere Pip.docx,NA,NA,NA,Not disclosed at signing.,Buyer
18 - Cheniere Energy Partners LP acquisition of equity interests of Cheniere Pip.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
18 - Fortegra Financial Corporation and eReinsurecom Inc merger.docx,W.,Benjamin,Barkley,Kilpatrick Townsend & Stockton LLP,Buyer
18 - Fortegra Financial Corporation and eReinsurecom Inc merger.docx,NA,NA,NA,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
18 - Fortegra Financial Corporation and eReinsurecom Inc merger.docx,NA,NA,NA,Foley & Lardner LLP,Target/Seller
18 - Harmonic Inc and Omneon Inc merger.docx,Jeffrey,D.,Saper,"Wilson Sonsini Goodrich & Rosati, P.C.",Buyer
18 - Harmonic Inc and Omneon Inc merger.docx,Robert,G.,Day,"Wilson Sonsini Goodrich & Rosati, P.C.",Buyer
18 - Harmonic Inc and Omneon Inc merger.docx,Mark,A.,Leahy,Fenwick & West LLP,Target/Seller
18 - Harmonic Inc and Omneon Inc merger.docx,Jeffrey,R.,Vetter,Fenwick & West LLP,Target/Seller
18 - Heartland Recreational Vehicles LLC acquisition of equity interests of DRV .docx,NA,NA,NA,Not disclosed at signing.,Buyer
18 - Heartland Recreational Vehicles LLC acquisition of equity interests of DRV .docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
18 - KMG Chemicals Inc acquisition of stock of ACP-Flowchem Blocker Inc and merg.docx,William,B.,Nelson,"Haynes and Boone, LLP",Buyer
18 - KMG Chemicals Inc acquisition of stock of ACP-Flowchem Blocker Inc and merg.docx,Ted,M.,Frankel,Kirkland & Ellis LLP,Target/Seller
18 - KMG Chemicals Inc acquisition of stock of ACP-Flowchem Blocker Inc and merg.docx,Jeffrey,A.,Fine,Kirkland & Ellis LLP,Target/Seller
18 - MaxLinear Inc acquisition of certain assets of Intel Corporation.docx,Robert,T.,Ishii,Wilson Sonsini Goodrich & Rosati P.C.,Buyer
18 - MaxLinear Inc acquisition of certain assets of Intel Corporation.docx,Rob,NA,Kornegay,Wilson Sonsini Goodrich & Rosati P.C.,Buyer
18 - MaxLinear Inc acquisition of certain assets of Intel Corporation.docx,Brian,NA,Keyes,Wilson Sonsini Goodrich & Rosati P.C.,Buyer
18 - MaxLinear Inc acquisition of certain assets of Intel Corporation.docx,Amr,NA,Razzak,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
18 - Pinnacle Entertainment Inc acquisition of equity interests of Washington Tr.docx,Ashok,W.,Mukhey,Irell & Manella LLP,Buyer
18 - Pinnacle Entertainment Inc acquisition of equity interests of Washington Tr.docx,Yoel,NA,Kranz,Goodwin Procter LLP,Target/Seller
18 - Prestige Brands Holdings Inc acquisition of certain assets of McNEIL-PPC In.docx,Gary,M.,Brown,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",Buyer
18 - Prestige Brands Holdings Inc acquisition of certain assets of McNEIL-PPC In.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
18 - Robert Bosch GmbH acquisition of subsidiary equity interests and certain as.docx,Brian,NA,McGunigle,Dorsey & Whitney LLP,Buyer
18 - Robert Bosch GmbH acquisition of subsidiary equity interests and certain as.docx,Christopher,J.,Bellini,Dorsey & Whitney LLP,Buyer
18 - Robert Bosch GmbH acquisition of subsidiary equity interests and certain as.docx,Aviva,NA,Diamant,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
18 - Robert Bosch GmbH acquisition of subsidiary equity interests and certain as.docx,Tiffany,NA,Pollard,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
18 - Sykes Enterprises Incorporated and Alpine Access Inc merger.docx,Gregory,C.,Yadley,"Shumaker, Loop & Kendrick LLP",Buyer
18 - Sykes Enterprises Incorporated and Alpine Access Inc merger.docx,NA,NA,NA,Davis Graham & Stubbs LLP,Target/Seller
18 - Viking Acquisition Inc acquisition of certain assets of The Clorox Company.docx,Kirk,A.,Radke,Kirkland and Ellis LLP,Buyer
18 - Viking Acquisition Inc acquisition of certain assets of The Clorox Company.docx,Joshua,NA,Kogan,Kirkland and Ellis LLP,Buyer
18 - Viking Acquisition Inc acquisition of certain assets of The Clorox Company.docx,Robert,S.,Townsend,Morrison & Foerster LLP,Target/Seller
18 - WESCO Distribution Inc acquisition of equity interests of TVC Communication.docx,David,L.,DeNinno,Reed Smith Centre,Buyer
18 - WESCO Distribution Inc acquisition of equity interests of TVC Communication.docx,Patrick,NA,Diaz,Ropes & Gray LLP,Target/Seller
18 - WESCO Distribution Inc acquisition of equity interests of TVC Communication.docx,Jeffrey,NA,Katz,Ropes & Gray LLP,Target/Seller
19 - BAE Systems Information Solutions Inc acquisition of stock and membership i.docx,NA,NA,NA,Crowell & Moring LLP,Buyer
19 - BAE Systems Information Solutions Inc acquisition of stock and membership i.docx,Peter,Allan,Atkins,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
19 - BAE Systems Information Solutions Inc acquisition of stock and membership i.docx,Eric,L.,Cochran,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
19 - Brightcove Inc and Zencoder Inc merger.docx,Joseph,C.,Theis,Goodwin Procter LLP,Buyer
19 - Brightcove Inc and Zencoder Inc merger.docx,Mark,W.,Seneca,"Orrick, Herrington & Sutcliffe LLP",Target/Seller
19 - CAPSS LLC acquisition of subsidiary equity interests of The Madison Square .docx,Andrew,NA,Kinstler,Helsell Fetterman,Buyer
19 - CAPSS LLC acquisition of subsidiary equity interests of The Madison Square .docx,Greg,NA,Thorpe,O’Melveny & Myers LLP,Target/Seller
19 - Cornerstone Therapeutics Inc and EKR Holdings Inc merger.docx,David,B.,Clement,"Smith, Anderson, Blount, Dorsett, Mitchell & Jernigan, L.L.P.",Buyer
19 - Cornerstone Therapeutics Inc and EKR Holdings Inc merger.docx,Gabor,NA,Garai,Foley & Lardner LLP,Target/Seller
19 - Cornerstone Therapeutics Inc and EKR Holdings Inc merger.docx,Susan,E.,Pravda,Foley & Lardner LLP,Target/Seller
19 - CRGT Inc acquisition of certain assets of CIBER Inc.docx,Marc,NA,Weingarten,Schulte Roth & Zabel LLP,Buyer
19 - CRGT Inc acquisition of certain assets of CIBER Inc.docx,NA,NA,NA,Hogan Lovells US LLP,Target/Seller
19 - CRGT Inc acquisition of certain assets of CIBER Inc.docx,Paul,NA,Hilton,Hogan Lovells US LLP,Target/Seller
19 - Cubic Corporation and Abraxas Corporation merger.docx,Neil,NA,Gold,Fulbright & Jaworski L.L.P.,Buyer
19 - Cubic Corporation and Abraxas Corporation merger.docx,Timothy,J.,Jessell,"Greenberg Traurig, LLP",Target/Seller
19 - Dynegy Inc acquisition of certain assets of The Dayton Power and Light Comp.docx,NA,NA,NA,Not disclosed at signing.,Buyer
19 - Dynegy Inc acquisition of certain assets of The Dayton Power and Light Comp.docx,David,NA,Kurzweil,Latham & Watkins LLP,Target/Seller
19 - EnerVest Ltd acquisition of certain assets of Linn Energy LLC.docx,Arthur,NA,Wright,Thompson & Knight LLP,Buyer
19 - EnerVest Ltd acquisition of certain assets of Linn Energy LLC.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
19 - John B Sanfilippo and Son Inc acquisition of certain assets of Orchard Vall.docx,Robert,M.,Mintz,Stahl Cowen Crowley Addis LLC,Buyer
19 - John B Sanfilippo and Son Inc acquisition of certain assets of Orchard Vall.docx,Matthew,I.,Friedrich,"Petrulakis Jensen & Friedrich, LLP",Target/Seller
19 - NeuLion Inc and DivX LLC merger.docx,Frank,NA,Lee,Loeb & Loeb LLP,Buyer
19 - NeuLion Inc and DivX LLC merger.docx,Ronelle,NA,Porter,Loeb & Loeb LLP,Buyer
19 - NeuLion Inc and DivX LLC merger.docx,Douglas,NA,Schaaf,Paul Hastings LLP,Target/Seller
19 - NeuLion Inc and DivX LLC merger.docx,Jason,NA,Rednour,Paul Hastings LLP,Target/Seller
19 - Norwood Financial Corp and North Penn Bancorp Inc merger.docx,James,C.,Stewart,"Malizia Spidi & Fisch, PC",Buyer
19 - Norwood Financial Corp and North Penn Bancorp Inc merger.docx,Aaron,NA,Kaslow,Kilpatrick Stockton LLP,Target/Seller
19 - Titanium Exploration Partners LLC acquisition of certain assets of Vanguard.docx,Sarah,E.,McLean,Thompson & Knight LLP,Buyer
19 - Titanium Exploration Partners LLC acquisition of certain assets of Vanguard.docx,J.,Patrick,Doherty,Doherty & Doherty LLP,Target/Seller
19 - USA Mobility Inc and Amcom Software Inc merger.docx,William,P.,O’Neill,Latham & Watkins LLP,Buyer
19 - USA Mobility Inc and Amcom Software Inc merger.docx,Kenneth,L.,Cutler,Dorsey & Whitney LLP,Target/Seller
19 - USA Mobility Inc and Amcom Software Inc merger.docx,Christopher,J.,Bellini,Dorsey & Whitney LLP,Target/Seller
2 - Gibraltar Industries Inc acquisition of equity interests of TerraSmart LLC a.docx,NA,NA,NA,Not disclosed at signing.,Buyer
2 - Gibraltar Industries Inc acquisition of equity interests of TerraSmart LLC a.docx,Colin,NA,Carley,Mayer Brown LLP,Target/Seller
2 - Kaiser Aluminum Corporation acquisition of equity interests of Alcoa Warrick.docx,Thomas,NA,Sauermilch,McDermott Will & Emery LLP,Buyer
2 - Kaiser Aluminum Corporation acquisition of equity interests of Alcoa Warrick.docx,Meir,NA,Lewittes,McDermott Will & Emery LLP,Buyer
2 - Kaiser Aluminum Corporation acquisition of equity interests of Alcoa Warrick.docx,William,J.,Axtman,Jones Day,Target/Seller
20 - Darling International Inc and Griffin Industries Inc merger.docx,Mary,R.,Korby,"Weil, Gotshal & Manges LLP",Buyer
20 - Darling International Inc and Griffin Industries Inc merger.docx,Louis,F.,Solimine,Thompson Hine LLP,Target/Seller
20 - Dominus Capital LP acquisition of stock of Bentley Prince Street Inc.docx,Edward,NA,Sadtler,Kirkland & Ellis LLP,Buyer
20 - Dominus Capital LP acquisition of stock of Bentley Prince Street Inc.docx,Jai,NA,Agrawal,Kirkland & Ellis LLP,Buyer
20 - Dominus Capital LP acquisition of stock of Bentley Prince Street Inc.docx,James,W.,Stevens,Kilpatrick Townsend & Stockton LLP,Target/Seller
20 - Gainline Capital Partners LP acquisition of equity interests of SourceHOV T.docx,Steven,NA,Cooperman,Morrison Cohen LLP,Buyer
20 - Gainline Capital Partners LP acquisition of equity interests of SourceHOV T.docx,Maurice,NA,Lefkort,Willkie Farr & Gallagher LLP,Target/Seller
20 - Gainline Capital Partners LP acquisition of equity interests of SourceHOV T.docx,Sean,NA,Ewen,Willkie Farr & Gallagher LLP,Target/Seller
20 - Hunt Global Resources Inc acquisition of stock of Carbon Green NA Inc.docx,NA,NA,NA,Joel Seidner,Buyer
20 - Hunt Global Resources Inc acquisition of stock of Carbon Green NA Inc.docx,Peter,NA,Jensen,Bacchus Law Corp.,Target/Seller
20 - IBERIABANK Corporation and Florida Bank Group Inc merger.docx,NA,NA,NA,Jones Walker LLP,Buyer
20 - IBERIABANK Corporation and Florida Bank Group Inc merger.docx,John,P.,Greeley,"Smith Mackinnon, PA",Target/Seller
20 - Inergy Midstream LP acquisition of equity interests of US Salt LLC.docx,NA,NA,NA,Not disclosed at signing.,Buyer
20 - Inergy Midstream LP acquisition of equity interests of US Salt LLC.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
20 - Intel Corporation acquisition of certain assets of QLogic Corporation.docx,Robert,S.,Townsend,Morrison & Foerster LLP,Buyer
20 - Intel Corporation acquisition of certain assets of QLogic Corporation.docx,Eric,T.,McCrath,Morrison & Foerster LLP,Buyer
20 - Intel Corporation acquisition of certain assets of QLogic Corporation.docx,Gary,J.,Singer,O’Melveny & Myers LLP,Target/Seller
20 - Intel Corporation acquisition of certain assets of QLogic Corporation.docx,Jeff,NA,Cislini,O’Melveny & Myers LLP,Target/Seller
20 - Raymond James Financial acquisition of stock of Scout Investments Inc.docx,David,E.,Barrett,Norton Rose Fulbright US LLP,Buyer
20 - Raymond James Financial acquisition of stock of Scout Investments Inc.docx,Michael,P.,O'Hare,"Stradley Ronon Stevens & Young, LLP",Target/Seller
20 - Regal Beloit Corporation acquisition of subsidiary stock and certain assets.docx,NA,NA,NA,Foley & Lardner LLP,Buyer
20 - Regal Beloit Corporation acquisition of subsidiary stock and certain assets.docx,Russell,E.,Ryba,Foley & Lardner LLP,Buyer
20 - Regal Beloit Corporation acquisition of subsidiary stock and certain assets.docx,Mark,D.,Gerstein,Latham & Watkins LLP,Target/Seller
20 - Regal Beloit Corporation acquisition of subsidiary stock and certain assets.docx,Zachary,A.,Judd,Latham & Watkins LLP,Target/Seller
20 - Security Life Insurance Company of America and Eastern Life and Health Insu.docx,Charles,C.,Berquist,Best & Flanagan LLP,Buyer
20 - Security Life Insurance Company of America and Eastern Life and Health Insu.docx,John,D.,Talbot,"Stevens & Lee, P.C.",Target/Seller
20 - Thor Industries Inc acquisition of stock of Heartland Recreational Vehicles.docx,NA,NA,NA,Akin Gump Strauss Hauer & Feld LLP,Buyer
20 - Thor Industries Inc acquisition of stock of Heartland Recreational Vehicles.docx,Eunu,NA,Chun,Kirkland & Ellis LLP,Target/Seller
20 - Thor Industries Inc acquisition of stock of Heartland Recreational Vehicles.docx,Ariel,NA,Yehezkel,Kirkland & Ellis LLP,Target/Seller
20 - Western Alliance Bancorporation acquisition of certain assets of GE Capital.docx,John,M.,Welch,Squire Patton Boggs LLP,Buyer
20 - Western Alliance Bancorporation acquisition of certain assets of GE Capital.docx,James,R.,Barresi,Squire Patton Boggs LLP,Buyer
20 - Western Alliance Bancorporation acquisition of certain assets of GE Capital.docx,Bruce,NA,Gilchrist,Hogan Lovells US LLP,Target/Seller
20 - Wingate Partners V LP acquisition of certain assets of Myers Industries Inc.docx,Tom,D.,Harris,"Haynes and Boone, LLP",Buyer
20 - Wingate Partners V LP acquisition of certain assets of Myers Industries Inc.docx,Megan,L.,Mehalko,Benesch Friedlander Coplan & Aronoff LLP,Target/Seller
21 - AVIC International Holding Corporation acquisition of subsidiary stock and .docx,Alexander,M.,Kaye,"Milbank, Tweed, Hadley & McCloy LLP",Buyer
21 - AVIC International Holding Corporation acquisition of subsidiary stock and .docx,Edward,T.,Sun,"Milbank, Tweed, Hadley & McCloy LLP",Buyer
21 - AVIC International Holding Corporation acquisition of subsidiary stock and .docx,Scott,E.,Westwood,McGuireWoods LLP,Target/Seller
21 - COG Operating LLC acquisition of assets of Three Rivers Acquisition LLC and.docx,John,B.,Connally,Vinson & Elkins LLP,Buyer
21 - COG Operating LLC acquisition of assets of Three Rivers Acquisition LLC and.docx,James,NA,McAnelly,Bracewell & Giuliani LLP,Target/Seller
21 - Cypress Lawn Cemetery Association acquisition of certain assets of Stonemor.docx,Nicholas,P.,Forestiere,"Gurnee, Mason, Rushford, Bonotto & Forestiere LLP",Buyer
21 - Cypress Lawn Cemetery Association acquisition of certain assets of Stonemor.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
21 - Deep Down Inc acquisition of stock of Cuming Corporation.docx,Jeffrey,D.,Hopkins,"Looper Reed & McGraw, P.C.",Buyer
21 - Deep Down Inc acquisition of stock of Cuming Corporation.docx,David,J.,Chavolla,"Casner & Edwards, LLP",Target/Seller
21 - Fleur de Lis Energy LLC acquisition of certain assets of LINN Energy LLC.docx,Anthony,NA,Speier,Kirkland & Ellis LLP,Buyer
21 - Fleur de Lis Energy LLC acquisition of certain assets of LINN Energy LLC.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
21 - Gerdau Ameristeel US Inc acquisition of stock of TAMCO.docx,Arthur,Jay,Schwartz,"Smith, Gambrell & Russell, LLP",Buyer
21 - Gerdau Ameristeel US Inc acquisition of stock of TAMCO.docx,J.,Scott,Hodgkins,Latham & Watkins,Target/Seller
21 - Grupo Bimbo SA de CV acquisition of equity interests of Sara Lee Bakery Gro.docx,Chantal,E.,Kordula,Cleary Gottlieb Steen & Hamilton LLP,Buyer
21 - Grupo Bimbo SA de CV acquisition of equity interests of Sara Lee Bakery Gro.docx,Kevin,F.,Blatchford,Sidley Austin LLP,Target/Seller
21 - Grupo Bimbo SA de CV acquisition of equity interests of Sara Lee Bakery Gro.docx,Scott,R.,Williams,Sidley Austin LLP,Target/Seller
21 - Meridian Bioscience Inc and Magellan Biosciences Inc merger.docx,James,M.,Jansing,Keating Muething & Klekamp PLL,Buyer
21 - Meridian Bioscience Inc and Magellan Biosciences Inc merger.docx,James,T.,Barrett,Goodwin Procter LLP,Target/Seller
21 - Riverview Financial Corporation and CBT Financial Corp merger.docx,Kimberly,J.,Decker,Barley Snyder LLP,Buyer
21 - Riverview Financial Corporation and CBT Financial Corp merger.docx,Benjamin,M.,Azoff,"Luse Gorman, P.C.",Target/Seller
21 - Riverview Financial Corporation and CBT Financial Corp merger.docx,Marc,P.,Levy,"Luse Gorman, P.C.",Target/Seller
21 - Silver II Acquisition S rl acquisition of stock and equity interests of ce.docx,Daniel,T.,Lennon,Latham & Watkins LLP,Buyer
21 - Silver II Acquisition S rl acquisition of stock and equity interests of ce.docx,NA,NA,NA,Latham & Watkins LLP,Buyer
21 - Silver II Acquisition S rl acquisition of stock and equity interests of ce.docx,Trevor,S.,Norwitz,"Wachtell, Lipton, Rosen & Katz",Target/Seller
21 - Teradata Corporation and Aster Data Systems Inc merger.docx,Michael,S.,Ringler,Wilson Sonsini Goodrich & Rosati,Buyer
21 - Teradata Corporation and Aster Data Systems Inc merger.docx,NA,NA,NA,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
21 - TransDigm Group Incorporated and AmSafe Global Holdings Inc merger.docx,John,M.,Gherlein,Baker & Hostetler LLP,Buyer
21 - TransDigm Group Incorporated and AmSafe Global Holdings Inc merger.docx,Halle,Fine,Terrion,Baker & Hostetler LLP,Buyer
21 - TransDigm Group Incorporated and AmSafe Global Holdings Inc merger.docx,David,K.,Duffell,"Weil, Gotshal & Manges LLP",Target/Seller
21 - TransDigm Group Incorporated and AmSafe Global Holdings Inc merger.docx,Shayla,K.,Harlev,"Weil, Gotshal & Manges LLP",Target/Seller
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,Thomas,E.,Dunn,"Cravath, Swaine & Moore LLP",Buyer
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,Howard,P.,Tatz,Raich Ende Malter & Co. LLP,Target/Seller
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,Derek,NA,Stoldt,Arnold & Porter Kaye Scholer LLP,Target/Seller
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,Aaron,NA,Gardner,Arnold & Porter Kaye Scholer LLP,Target/Seller
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,NA,NA,NA,Arnold & Porter Kaye Scholer LLP,Target/Seller
22 - Ashland Global Holdings Inc acquisition of stock of Pharmachem Laboratories.docx,NA,NA,NA,Arnold & Porter Kaye Scholer LLP,Target/Seller
22 - Brightpoint Inc acquisition of equity interests of Touchstone Wireless Repa.docx,Robert,J.,Mittman,Blank Rome LLP,Buyer
22 - Brightpoint Inc acquisition of equity interests of Touchstone Wireless Repa.docx,David,S.,Denious,Dechert LLP,Target/Seller
22 - GTT Communications Inc and American Broadband Inc dba United Network Servic.docx,Andrew,M.,Ray,Bingham McCutchen LLP,Buyer
22 - GTT Communications Inc and American Broadband Inc dba United Network Servic.docx,Akash,D.,Sethi,McGuireWoods LLP,Target/Seller
22 - Heckmann Corporation acquisition of stock of Complete Vacuum and Rental Inc.docx,Steven,D.,Pidgeon,DLA Piper LLP (US),Buyer
22 - Heckmann Corporation acquisition of stock of Complete Vacuum and Rental Inc.docx,Mark,S.,Embree,Adams and Reese LLP,Target/Seller
22 - MedAssets Inc acquisition of stock of Broadlane Intermediate Holdings Inc.docx,Steven,J.,Gartner,Willkie Farr & Gallagher LLP,Buyer
22 - MedAssets Inc acquisition of stock of Broadlane Intermediate Holdings Inc.docx,Morgan,D.,Elwyn,Willkie Farr & Gallagher LLP,Buyer
22 - MedAssets Inc acquisition of stock of Broadlane Intermediate Holdings Inc.docx,Paul,D.,Ginsberg,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Target/Seller
22 - MedAssets Inc acquisition of stock of Broadlane Intermediate Holdings Inc.docx,Ariel,J.,Deckelbaum,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Target/Seller
22 - Mercury Systems Inc acquisition of equity interests of Microsemi LLC - RF I.docx,John,R.,Utzschneider,"Morgan, Lewis & Bockius LLP",Buyer
22 - Mercury Systems Inc acquisition of equity interests of Microsemi LLC - RF I.docx,Gitte,J.,Blanchet,"Morgan, Lewis & Bockius LLP",Buyer
22 - Mercury Systems Inc acquisition of equity interests of Microsemi LLC - RF I.docx,Warren,NA,Lazarow,O’Melveny & Myers LLP,Target/Seller
22 - Mercury Systems Inc acquisition of equity interests of Microsemi LLC - RF I.docx,Paul,NA,Scrivano,O’Melveny & Myers LLP,Target/Seller
22 - NGL Energy Partners LP acquisition of certain assets of EnergyUSA Propane I.docx,J.,Robert,Seder,"Seder & Chandler, LLP",Buyer
22 - NGL Energy Partners LP acquisition of certain assets of EnergyUSA Propane I.docx,Robert,R.,Kaplan,"Kaplan Voekler Cunningham & Frank, PLC",Target/Seller
22 - Silicon Laboratories Inc acquisition of certain assets of Redpine Signals I.docx,Philip,NA,Russell,DLA Piper LLP (US),Buyer
22 - Silicon Laboratories Inc acquisition of certain assets of Redpine Signals I.docx,D.,Joseph,Fore,DLA Piper LLP (US),Buyer
22 - Silicon Laboratories Inc acquisition of certain assets of Redpine Signals I.docx,Allison,Leopold,Tilley,Pillsbury Winthrop Shaw Pittman LLP,Target/Seller
22 - Silicon Laboratories Inc acquisition of certain assets of Redpine Signals I.docx,Drew,NA,Simon-Rooke,Pillsbury Winthrop Shaw Pittman LLP,Target/Seller
22 - Towers Watson And Co and Extend Health Inc merger.docx,William,P.,Mills,"Cadwalader, Wickersham & Taft LLP",Buyer
22 - Towers Watson And Co and Extend Health Inc merger.docx,Jon,C.,Avina,Wilson Sonsini Goodrich & Rosati Professional Corporation,Target/Seller
22 - Towers Watson And Co and Extend Health Inc merger.docx,Lawrence,M.,Chu,Wilson Sonsini Goodrich & Rosati Professional Corporation,Target/Seller
22 - Universal Truckload Services Inc and LINC Logistics Company merger.docx,Mark,D.,Gerstein,Latham & Watkins LLP,Buyer
22 - Universal Truckload Services Inc and LINC Logistics Company merger.docx,Timothy,P.,Fitzsimons,Latham & Watkins LLP,Buyer
22 - Universal Truckload Services Inc and LINC Logistics Company merger.docx,D.,Kerry,Crenshaw,Clark Hill PLC,Buyer
22 - Universal Truckload Services Inc and LINC Logistics Company merger.docx,William,B.,Brentani,Simpson Thacher & Bartlett LLP,Target/Seller
22 - Universal Truckload Services Inc and LINC Logistics Company merger.docx,Peter,S.,Malloy,Simpson Thacher & Bartlett LLP,Target/Seller
22 - Universal Truckload Services Inc and LINC Logistics Company merger.docx,C.,Douglas,Buford,"Mitchell, Williams, Selig, Gates & Woodyard, P.L.L.C.",Target/Seller
22 - Valeant Pharmaceuticals International acquisition of equity interests of Pr.docx,Richard,B.,Aldridge,"Morgan, Lewis & Bockius LLP",Buyer
22 - Valeant Pharmaceuticals International acquisition of equity interests of Pr.docx,Robert,G.,Minion,Lowenstein Sandler PC,Target/Seller
22 - Valeant Pharmaceuticals International acquisition of equity interests of Pr.docx,Ethan,A.,Skerry,Lowenstein Sandler PC,Target/Seller
22 - Weyco Group Inc acquisition of stock of Bogs Footwear.docx,Tyson,A.,Ciepluch,Quarles & Brady LLP,Buyer
22 - Weyco Group Inc acquisition of stock of Bogs Footwear.docx,Ian,T.,Richardson,Gleaves Swearingen Potter & Scott LLP,Target/Seller
23 - Allscripts Healthcare SolutionsGI Partners and Netsmart Technologies Inc me.docx,William,NA,Simpson,Paul Hastings LLP,Buyer
23 - Allscripts Healthcare SolutionsGI Partners and Netsmart Technologies Inc me.docx,Brandon,NA,Howald,Paul Hastings LLP,Buyer
23 - Allscripts Healthcare SolutionsGI Partners and Netsmart Technologies Inc me.docx,Gary,NA,Gerstman,Sidley Austin LLP,Buyer
23 - Allscripts Healthcare SolutionsGI Partners and Netsmart Technologies Inc me.docx,Seth,NA,Katz,Sidley Austin LLP,Buyer
23 - Allscripts Healthcare SolutionsGI Partners and Netsmart Technologies Inc me.docx,Scott,NA,Haber,Latham & Watkins LLP,Target/Seller
23 - Allscripts Healthcare SolutionsGI Partners and Netsmart Technologies Inc me.docx,Josh,NA,Dubofsky,Latham & Watkins LLP,Target/Seller
23 - Bulk Handling USA Inc acquisition of equity interests of US Bulk Terminal L.docx,David,L.,Griffis,"Crain, Caton & James P.C.",Buyer
23 - Bulk Handling USA Inc acquisition of equity interests of US Bulk Terminal L.docx,Russell,NA,Leaf,Willkie Farr & Gallagher LLP,Target/Seller
23 - Clarus Corporation acquisition of stock of SKB Corporation.docx,Robert,L.,Lawrence,"Kane Kessler, P.C.",Buyer
23 - Clarus Corporation acquisition of stock of SKB Corporation.docx,Thomas,M.,Cleary,Dykema Gossett PLLC,Target/Seller
23 - Clarus Corporation acquisition of stock of SKB Corporation.docx,Charles,C.H.,Wu,"Wu & Reddy, a Prof. Corp.",Target/Seller
23 - Global Defense Technology And Systems Inc acquisition of stock of Zytel Cor.docx,Lawrence,T.,Yanowitch,Morrison & Foerster LLP,Buyer
23 - Global Defense Technology And Systems Inc acquisition of stock of Zytel Cor.docx,NA,NA,NA,"Gordon, Feinblatt, Rothman, Hoffberger & Hollander, LLC",Target/Seller
23 - Knight Transportation Inc acquisition of stock of Barr-Nunn Transportation .docx,Mark,A.,Scudder,"Scudder Law Firm, P.C., L.L.O.",Buyer
23 - Knight Transportation Inc acquisition of stock of Barr-Nunn Transportation .docx,Steve,NA,Zumbach,"Belin McCormick, P.C.",Target/Seller
